transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000161418,2024-03-06 09:07:29,P2P,Education,10507,FAILED,26-35,36-45,Andhra Pradesh,HDFC,Axis,Android,4G,0,9,Wednesday,0
TXN0000089258,2024-08-20 23:43:50,P2P,Grocery,150,SUCCESS,26-35,56+,West Bengal,ICICI,SBI,Android,4G,0,23,Tuesday,0
TXN0000071948,2024-03-21 15:01:19,P2P,Food,90,SUCCESS,56+,18-25,West Bengal,SBI,Yes Bank,Android,4G,0,15,Thursday,0
TXN0000004257,2024-10-07 15:12:00,P2P,Shopping,3620,SUCCESS,18-25,26-35,Karnataka,PNB,HDFC,iOS,5G,0,15,Monday,0
TXN0000130290,2024-01-09 17:49:57,Bill Payment,Food,517,SUCCESS,18-25,26-35,Tamil Nadu,Yes Bank,PNB,iOS,4G,0,17,Tuesday,0
TXN0000136124,2024-02-03 14:53:07,Bill Payment,Grocery,1160,SUCCESS,26-35,36-45,Gujarat,SBI,ICICI,iOS,3G,0,14,Saturday,1
TXN0000048429,2024-03-25 12:30:05,P2M,Other,1565,SUCCESS,18-25,26-35,Maharashtra,SBI,SBI,Android,WiFi,0,12,Monday,0
TXN0000242735,2024-12-02 13:33:39,Bill Payment,Fuel,643,SUCCESS,26-35,26-35,Maharashtra,Yes Bank,Yes Bank,Android,5G,0,13,Monday,0
TXN0000032809,2024-10-09 18:38:45,P2M,Food,1886,SUCCESS,26-35,18-25,West Bengal,ICICI,Axis,Android,4G,0,18,Wednesday,0
TXN0000054621,2024-09-23 18:13:24,P2P,Shopping,517,SUCCESS,26-35,26-35,Tamil Nadu,Kotak,IndusInd,Android,4G,0,18,Monday,0
TXN0000014953,2024-11-10 12:40:53,P2P,Other,408,SUCCESS,46-55,26-35,Telangana,Axis,Yes Bank,Android,4G,0,12,Sunday,1
TXN0000140325,2024-09-24 10:57:59,P2M,Shopping,1100,SUCCESS,18-25,18-25,Gujarat,Yes Bank,HDFC,Android,4G,1,10,Tuesday,0
TXN0000211687,2024-06-25 19:28:45,Bill Payment,Grocery,258,SUCCESS,36-45,36-45,Karnataka,Axis,SBI,Android,5G,0,19,Tuesday,0
TXN0000069569,2024-12-07 17:12:18,P2P,Utilities,3082,SUCCESS,36-45,46-55,Maharashtra,Kotak,ICICI,iOS,4G,0,17,Saturday,1
TXN0000030739,2024-10-05 22:18:18,Bill Payment,Shopping,150,SUCCESS,26-35,18-25,Karnataka,SBI,HDFC,Android,4G,0,22,Saturday,1
TXN0000098191,2024-04-05 19:27:14,P2M,Transport,73,SUCCESS,26-35,46-55,Rajasthan,ICICI,SBI,Android,WiFi,0,19,Friday,0
TXN0000042297,2024-05-11 23:41:10,Recharge,Food,2402,SUCCESS,18-25,26-35,Rajasthan,ICICI,ICICI,Web,4G,0,23,Saturday,1
TXN0000112380,2024-06-29 15:30:53,P2P,Shopping,1007,SUCCESS,18-25,18-25,West Bengal,Kotak,SBI,Android,4G,0,15,Saturday,1
TXN0000005865,2024-07-24 12:24:46,Bill Payment,Shopping,7934,SUCCESS,26-35,36-45,Tamil Nadu,SBI,ICICI,Android,4G,0,12,Wednesday,0
TXN0000232420,2024-07-04 18:41:09,P2P,Entertainment,920,SUCCESS,36-45,26-35,Gujarat,SBI,IndusInd,iOS,5G,0,18,Thursday,0
TXN0000157709,2024-08-22 21:31:22,P2P,Other,1197,SUCCESS,26-35,18-25,West Bengal,PNB,IndusInd,Android,5G,0,21,Thursday,0
TXN0000212167,2024-05-02 20:34:37,P2M,Entertainment,202,FAILED,36-45,46-55,Delhi,SBI,PNB,iOS,5G,0,20,Thursday,0
TXN0000141513,2024-07-22 10:50:34,P2P,Shopping,1104,SUCCESS,26-35,36-45,Telangana,SBI,IndusInd,Android,5G,0,10,Monday,0
TXN0000158858,2024-05-17 10:03:22,P2M,Transport,786,SUCCESS,26-35,18-25,Maharashtra,PNB,SBI,Web,5G,0,10,Friday,0
TXN0000178642,2024-01-16 17:58:26,P2M,Grocery,3241,SUCCESS,36-45,26-35,Telangana,HDFC,Axis,Android,5G,0,17,Tuesday,0
TXN0000134186,2024-11-01 09:13:56,P2P,Utilities,1346,SUCCESS,36-45,26-35,Delhi,Yes Bank,HDFC,Web,4G,0,9,Friday,0
TXN0000004565,2024-08-07 14:19:47,P2P,Utilities,6552,SUCCESS,46-55,36-45,Delhi,Axis,SBI,iOS,WiFi,0,14,Wednesday,0
TXN0000191595,2024-03-02 17:53:05,P2P,Fuel,1075,SUCCESS,18-25,36-45,Delhi,PNB,IndusInd,Android,5G,0,17,Saturday,1
TXN0000137102,2024-08-11 19:59:53,P2M,Food,569,SUCCESS,26-35,26-35,Uttar Pradesh,PNB,SBI,Android,4G,0,19,Sunday,1
TXN0000128156,2024-08-23 17:59:58,P2P,Entertainment,135,SUCCESS,36-45,26-35,Tamil Nadu,ICICI,SBI,Android,4G,0,17,Friday,0
TXN0000245523,2024-02-16 16:11:39,P2P,Fuel,580,SUCCESS,26-35,18-25,Telangana,SBI,Axis,Android,4G,0,16,Friday,0
TXN0000007154,2024-12-09 08:40:47,P2P,Other,348,SUCCESS,26-35,26-35,West Bengal,PNB,Axis,Android,4G,0,8,Monday,0
TXN0000128477,2024-12-19 18:28:28,P2M,Utilities,2461,SUCCESS,36-45,26-35,Karnataka,Yes Bank,Axis,Android,4G,0,18,Thursday,0
TXN0000143632,2024-02-20 17:34:59,P2P,Healthcare,286,SUCCESS,26-35,18-25,Telangana,Kotak,SBI,Android,4G,0,17,Tuesday,0
TXN0000208150,2024-10-14 07:15:42,P2P,Fuel,2232,SUCCESS,56+,26-35,Tamil Nadu,Kotak,IndusInd,Android,5G,0,7,Monday,0
TXN0000027343,2024-06-18 21:16:06,Bill Payment,Transport,495,SUCCESS,26-35,36-45,Gujarat,Yes Bank,HDFC,Android,4G,0,21,Tuesday,0
TXN0000230024,2024-01-06 13:33:29,Bill Payment,Food,132,SUCCESS,18-25,18-25,West Bengal,Kotak,Yes Bank,Android,4G,0,13,Saturday,1
TXN0000167228,2024-02-11 18:33:46,P2P,Other,443,SUCCESS,46-55,26-35,Uttar Pradesh,SBI,ICICI,iOS,4G,0,18,Sunday,1
TXN0000048295,2024-01-24 20:36:28,P2M,Grocery,452,SUCCESS,18-25,36-45,Telangana,ICICI,Axis,Android,4G,0,20,Wednesday,0
TXN0000119267,2024-06-12 08:24:02,P2M,Fuel,307,SUCCESS,18-25,36-45,West Bengal,Yes Bank,HDFC,Android,4G,0,8,Wednesday,0
TXN0000241770,2024-09-09 18:33:02,P2M,Shopping,13974,SUCCESS,26-35,26-35,Andhra Pradesh,IndusInd,ICICI,Android,4G,0,18,Monday,0
TXN0000053912,2024-06-20 16:12:04,P2P,Utilities,1030,SUCCESS,26-35,26-35,West Bengal,HDFC,Axis,Android,4G,0,16,Thursday,0
TXN0000161048,2024-11-13 20:09:45,P2P,Entertainment,307,SUCCESS,26-35,26-35,Karnataka,Kotak,SBI,Android,4G,0,20,Wednesday,0
TXN0000209408,2024-12-10 02:38:14,P2P,Utilities,1471,SUCCESS,18-25,26-35,Delhi,HDFC,Axis,Android,3G,0,2,Tuesday,0
TXN0000142761,2024-02-26 18:30:31,P2P,Entertainment,443,SUCCESS,18-25,36-45,Maharashtra,Yes Bank,ICICI,Android,5G,0,18,Monday,0
TXN0000017099,2024-03-01 17:43:48,P2P,Utilities,1336,SUCCESS,18-25,18-25,Maharashtra,SBI,Yes Bank,Android,3G,0,17,Friday,0
TXN0000230855,2024-07-14 18:09:16,P2M,Grocery,933,SUCCESS,46-55,26-35,Rajasthan,IndusInd,SBI,Android,4G,0,18,Sunday,1
TXN0000005519,2024-12-30 18:11:06,P2M,Food,519,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,Kotak,Android,4G,0,18,Monday,0
TXN0000227001,2024-12-15 18:42:03,Bill Payment,Other,1413,SUCCESS,26-35,36-45,Telangana,PNB,PNB,iOS,4G,0,18,Sunday,1
TXN0000225448,2024-07-18 21:51:39,P2P,Grocery,1211,SUCCESS,26-35,18-25,Andhra Pradesh,PNB,Axis,iOS,4G,0,21,Thursday,0
TXN0000065349,2024-02-07 17:17:25,Recharge,Transport,560,SUCCESS,26-35,36-45,Delhi,Yes Bank,SBI,iOS,4G,0,17,Wednesday,0
TXN0000037886,2024-01-05 11:21:16,P2P,Food,415,SUCCESS,26-35,36-45,Delhi,ICICI,SBI,Android,WiFi,0,11,Friday,0
TXN0000243028,2024-11-22 09:41:18,P2M,Fuel,1520,SUCCESS,56+,26-35,Delhi,Yes Bank,Axis,Android,4G,0,9,Friday,0
TXN0000122310,2024-02-17 13:40:43,P2P,Food,2796,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,Yes Bank,Android,4G,0,13,Saturday,1
TXN0000026188,2024-07-09 22:09:38,P2M,Utilities,3604,SUCCESS,18-25,36-45,Maharashtra,Kotak,Kotak,Android,5G,0,22,Tuesday,0
TXN0000234649,2024-12-28 01:28:46,P2P,Fuel,4109,SUCCESS,46-55,56+,Maharashtra,HDFC,HDFC,iOS,4G,0,1,Saturday,1
TXN0000025235,2024-02-05 17:06:06,Bill Payment,Food,2226,SUCCESS,18-25,26-35,Gujarat,HDFC,SBI,Web,4G,0,17,Monday,0
TXN0000196980,2024-03-22 07:06:06,P2M,Shopping,2679,SUCCESS,36-45,46-55,Andhra Pradesh,IndusInd,HDFC,Android,4G,0,7,Friday,0
TXN0000237269,2024-05-01 18:36:02,Bill Payment,Food,318,SUCCESS,18-25,36-45,Maharashtra,Axis,ICICI,Android,4G,0,18,Wednesday,0
TXN0000179840,2024-12-28 18:06:37,P2P,Grocery,256,SUCCESS,46-55,26-35,Karnataka,Yes Bank,Kotak,Android,4G,0,18,Saturday,1
TXN0000037382,2024-09-24 19:01:12,P2M,Food,353,SUCCESS,26-35,18-25,Maharashtra,SBI,ICICI,Android,5G,0,19,Tuesday,0
TXN0000117745,2024-05-13 12:34:44,P2P,Fuel,1086,SUCCESS,26-35,18-25,West Bengal,PNB,Yes Bank,iOS,3G,0,12,Monday,0
TXN0000188692,2024-09-05 08:12:46,P2P,Utilities,1402,SUCCESS,18-25,36-45,Karnataka,ICICI,ICICI,Android,4G,0,8,Thursday,0
TXN0000028373,2024-02-23 19:09:30,P2M,Fuel,1181,SUCCESS,18-25,26-35,Tamil Nadu,Yes Bank,IndusInd,Android,4G,0,19,Friday,0
TXN0000213711,2024-06-23 18:21:07,Bill Payment,Fuel,3624,SUCCESS,26-35,36-45,Tamil Nadu,SBI,Yes Bank,Android,5G,0,18,Sunday,1
TXN0000174185,2024-12-05 10:55:27,P2P,Entertainment,1389,SUCCESS,26-35,36-45,Karnataka,Axis,Axis,Android,4G,0,10,Thursday,0
TXN0000176379,2024-08-19 20:35:09,P2P,Food,126,SUCCESS,26-35,26-35,Gujarat,Kotak,PNB,Web,4G,0,20,Monday,0
